title,release_date,popularity,genre_ids,vote_average
Rise of the Planet of the Apes,2011-08-03,90.838,"[53, 28, 18, 878]",7.298
V/H/S/94,2021-09-26,68.099,"[27, 53, 878]",6.217
Howl's Moving Castle,2004-09-09,78.55,"[14, 16, 12]",8.405
Sisu,2023-01-27,78.061,"[28, 10752, 37]",7.5
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,86.262,"[12, 14, 18, 10749]",6.5
Deep Water,2022-03-18,67.779,"[18, 9648, 53]",5.775
The Conjuring: The Devil Made Me Do It,2021-05-25,86.262,"[27, 9648, 53]",7.461
Plane,2023-01-12,79.234,[28],6.982
Lord of Misrule,2023-10-26,101.25,[27],6.133
Mad Max: Fury Road,2015-05-13,89.682,"[28, 12, 878]",7.588
The Lord of the Rings: The Two Towers,2002-12-18,80.892,"[12, 14, 28]",8.4
Beauty and the Beast,2017-03-16,66.068,"[10751, 14, 10749]",6.968
Finding Nemo,2003-05-30,81.056,"[16, 10751]",7.824
Spider-Man,2002-05-01,81.556,"[28, 878]",7.29
Kokoro to Karada,2004-12-11,92.92,[18],8.1
Mulan,1998-06-18,95.773,"[16, 10751, 12]",7.914
Meet Joe Black,1998-11-12,74.017,"[14, 18, 10749]",7.321
The Notebook,2004-06-25,69.015,"[10749, 18]",7.888
Cinderella,1950-02-22,82.013,"[10751, 14, 16, 10749]",7.042
Avengers: Age of Ultron,2015-04-22,93.233,"[28, 12, 878]",7.273
A Quiet Place Part II,2021-05-21,83.86,"[878, 53, 27]",7.499
The Pod Generation,2023-08-11,83.76,"[878, 35, 10749, 18]",5.738
Carl's Date,2023-06-15,83.721,"[16, 12, 10751]",7.545
Kung Fu Panda 2,2011-05-25,83.551,"[16, 10751, 35]",6.988
One Day,2011-03-02,83.453,"[18, 10749]",7.425
Transformers: Age of Extinction,2014-06-25,83.011,"[878, 28, 12]",5.926
Come Out Fighting,2023-05-19,82.892,"[10752, 18, 28]",5.306
Good Boy,2022-06-03,82.633,"[27, 53]",6.503
Kung Fu Panda,2008-06-04,82.582,"[28, 12, 16, 10751, 35]",7.261
Joker,2019-10-01,82.525,"[80, 53, 18]",8.164
Scream VI,2023-03-08,82.433,"[27, 80, 53]",7.1
One Piece Film Red,2022-08-06,82.415,"[16, 12, 28, 14, 10402]",7.282
The Holdovers,2023-10-27,82.263,"[35, 18]",7.783
No Hard Feelings,2023-06-15,82.184,"[35, 10749]",6.887
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019-03-29,82.184,"[28, 16, 14]",7.923
Cinderella,1950-02-22,82.013,"[10751, 14, 16, 10749]",7.042
A Quiet Place: Day One,2024-06-26,81.75,"[27, 878, 53]",0.0
War for the Planet of the Apes,2017-07-11,81.567,"[18, 878, 10752]",7.168
Spider-Man,2002-05-01,81.556,"[28, 878]",7.29
El Roomie,2024-01-18,81.51,[35],6.25
